»’∆⁄,◊Ó∏ﬂ∆¯Œ¬,◊ÓµÕ∆¯Œ¬,ÃÏ∆¯,∑ÁœÚ
2024/1/1,8°Ê,3°Ê,∂‡‘∆,
2024/1/2,11°Ê,4°Ê,∂‡‘∆~“ı,
2024/1/3,10°Ê,3°Ê,«Á,
2024/1/4,11°Ê,4°Ê,«Á,
2024/1/5,14°Ê,8°Ê,∂‡‘∆~–°”Í,
2024/1/6,13°Ê,0°Ê,“ı~«Á,
2024/1/7,5°Ê,0°Ê,“ı~«Á,
2024/1/8,9°Ê,6°Ê,“ı~∂‡‘∆,
2024/1/9,13°Ê,3°Ê,“ı~∂‡‘∆,
2024/1/10,7°Ê,0°Ê,∂‡‘∆,
2024/2/1,9°Ê,5°Ê,–°”Í,
2024/2/2,6°Ê,4°Ê,“ı~–°”Í,
2024/2/3,6°Ê,4°Ê,–°”Í,
2024/2/4,6°Ê,3°Ê,÷–”Í~–°”Í,
2024/2/5,3°Ê,0°Ê,“ı,
2024/2/6,3°Ê,2°Ê,“ı,
2024/2/7,5°Ê,0°Ê,“ı~∂‡‘∆,
2024/2/8,7°Ê,1°Ê,∂‡‘∆~“ı,
2024/2/9,9°Ê,3°Ê,«Á,
2024/2/10,14°Ê,4°Ê,«Á~–°”Í,
2024/3/1,6°Ê,0°Ê,“ı,
2024/3/2,9°Ê,3°Ê,∂‡‘∆~«Á,
2024/3/3,14°Ê,8°Ê,«Á~–°”Í,
2024/3/4,11°Ê,10°Ê,–°”Í,
2024/3/5,12°Ê,6°Ê,–°”Í,
2024/3/6,11°Ê,4°Ê,“ı,
2024/3/7,12°Ê,5°Ê,∂‡‘∆~«Á,
2024/3/8,12°Ê,4°Ê,“ı~«Á,
2024/3/9,13°Ê,5°Ê,«Á,
2024/3/10,14°Ê,8°Ê,«Á~–°”Í,
2024/4/1,24°Ê,15°Ê,∂‡‘∆~÷–”Í,
2024/4/2,21°Ê,19°Ê,–°”Í~÷–”Í,
2024/4/3,20°Ê,12°Ê,“ı,
2024/4/4,18°Ê,12°Ê,“ı~–°”Í,
2024/4/5,19°Ê,12°Ê,«Á~–°”Í,
2024/4/6,17°Ê,12°Ê,“ı~«Á,
2024/4/7,15°Ê,12°Ê,–°”Í,
2024/4/8,13°Ê,11°Ê,–°”Í~“ı,
2024/4/9,23°Ê,11°Ê,–°”Í~∂‡‘∆,
2024/4/10,22°Ê,14°Ê,ŒÌ~“ı,
2024/5/1,22°Ê,14°Ê,“ı~∂‡‘∆,
2024/5/2,20°Ê,16°Ê,“ı~∂‡‘∆,
2024/5/3,23°Ê,15°Ê,∂‡‘∆~“ı,
2024/5/4,19°Ê,17°Ê,“ı~÷–”Í,
2024/5/5,21°Ê,17°Ê,–°”Í,
2024/5/6,26°Ê,17°Ê,“ı~∂‡‘∆,
2024/5/7,27°Ê,16°Ê,“ı~«Á,
2024/5/8,24°Ê,14°Ê,«Á~∂‡‘∆,
2024/5/9,23°Ê,17°Ê,“ı,
2024/5/10,26°Ê,19°Ê,«Á~–°”Í,
2024/6/1,25°Ê,19°Ê,∂‡‘∆,
2024/6/2,28°Ê,20°Ê,∂‡‘∆~“ı,
2024/6/3,32°Ê,21°Ê,∂‡‘∆~“ı,
2024/6/4,28°Ê,20°Ê,∂‡‘∆~“ı,
2024/6/5,23°Ê,19°Ê,–°”Í,
2024/6/6,23°Ê,19°Ê,–°”Í~“ı,
2024/6/7,25°Ê,20°Ê,“ı,
2024/6/8,29°Ê,21°Ê,“ı,
2024/6/9,31°Ê,22°Ê,“ı,
2024/6/10,24°Ê,21°Ê,“ı,
